"DisplayName","Direction","Action","Profile","Description"
"Wi-Fi Direct Spooler Use (Out)","Outbound","Allow","Public","Outbound rule to use WSD printers on Wi-Fi Direct networks."
"Network Discovery (SSDP-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow use of the Simple Service Discovery Protocol. [UDP 1900]"
"Network Discovery (WSD Events-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow WSDAPI Events via Function Discovery. [TCP 5357]"
"Wi-Fi Direct Spooler Use (In)","Inbound","Allow","Public","Inbound rule to use WSD printers on Wi-Fi Direct networks."
"Remote Assistance (TCP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Remote Assistance traffic. [TCP]"
"Core Networking - Packet Too Big (ICMPv6-Out)","Outbound","Allow","Any","Packet Too Big error messages are sent from any node that a packet traverses which is unable to forward the packet because the packet is too large for the next link."
"Connected Devices Platform (UDP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Connected Devices Platform traffic [UDP]"
"Core Networking - IPv6 (IPv6-In)","Inbound","Allow","Any","Inbound rule required to permit IPv6 traffic for ISATAP (Intra-Site Automatic Tunnel Addressing Protocol) and 6to4 tunneling services."
"Connected Devices Platform - Wi-Fi Direct Transport (TCP-Out)","Outbound","Allow","Public","Outbound rule to use Wi-Fi Direct traffic in the Connected Devices Platform  [TCP]"
"mDNS (UDP-Out)","Outbound","Allow","Domain","Outbound rule for mDNS traffic [UDP]"
"Delivery Optimization (UDP-In)","Inbound","Allow","Any","Inbound rule to allow Delivery Optimization to connect to remote endpoints"
"Core Networking - Parameter Problem (ICMPv6-Out)","Outbound","Allow","Any","Parameter Problem error messages are sent by nodes as a result of incorrectly generated packets."
"Core Networking - Router Advertisement (ICMPv6-In)","Inbound","Allow","Any","Router Advertisement messages are sent by routers to other nodes for stateless auto-configuration."
"Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","Inbound","Allow","Any","Destination Unreachable Fragmentation Needed error messages are sent from any node that a packet traverses which is unable to forward the packet because fragmentation was needed and the don't fragment bit was set."
"Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","Inbound","Allow","Any","Allows DHCP (Dynamic Host Configuration Protocol) messages for stateful auto-configuration."
"Network Discovery (WSD-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to discover devices via Device Association Framework. [UDP 3702]"
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","Inbound","Allow","Any","Allows DHCPV6 (Dynamic Host Configuration Protocol for IPv6) messages for stateful and stateless configuration."
"Connected Devices Platform (TCP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Connected Devices Platform traffic [TCP]"
"Wi-Fi Direct Scan Service Use (In)","Inbound","Allow","Public","Inbound rule to use WSD scanners on Wi-Fi Direct networks."
"Network Discovery (WSD-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]"
"Core Networking - Router Solicitation (ICMPv6-Out)","Outbound","Allow","Any","Router Solicitation messages are sent by nodes seeking routers to provide stateless auto-configuration."
"Remote Assistance (SSDP UDP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Remote Assistance to allow use of the Simple Service Discovery Protocol. [UDP 1900]"
"Remote Assistance (SSDP TCP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Remote Assistance to allow use of Universal Plug and Play. [TCP]"
"Network Discovery (WSD Events-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow WSDAPI Events via Function Discovery. [TCP 5357]"
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)","Inbound","Allow","Any","Neighbor Discovery Solicitations are sent by nodes to discover the link-layer address of another on-link IPv6 node."
"Remote Assistance (DCOM-In)","Inbound","Allow","Domain","Inbound rule for Remote Assistance to allow offers for assistance via DCOM. [TCP 135]"
"Network Discovery (UPnP-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP]"
"Network Discovery (WSD EventsSecure-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow Secure WSDAPI Events via Function Discovery. [TCP 5358]"
"Remote Assistance (RA Server TCP-In)","Inbound","Allow","Domain","Inbound rule for Remote Assistance to allow offers for assistance. [TCP]"
"Network Discovery (UPnP-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP 2869]"
"Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","Outbound","Allow","Any","Multicast Listener Report v2 message is used by a listening node to either immediately report its interest in receiving multicast traffic at a specific multicast address or in response to a Multicast Listener Query."
"Microsoft Media Foundation Network Source IN [UDP 5004-5009]","Inbound","Allow","Any","InBound Rule for the Microsoft Media Foundation's Capture SVC to open UDP port to enable RTSP"
"Windows Device Management Enrollment Service (TCP out)","Outbound","Allow","Any","Allow outbound TCP traffic from Windows Device Management Enrollment Service"
"mDNS (UDP-Out)","Outbound","Allow","Public","Outbound rule for mDNS traffic [UDP]"
"Delivery Optimization (TCP-In)","Inbound","Allow","Any","Inbound rule to allow Delivery Optimization to connect to remote endpoints"
"Core Networking - Multicast Listener Done (ICMPv6-Out)","Outbound","Allow","Any","Multicast Listener Done messages inform local routers that there are no longer any members remaining for a specific multicast address on the subnet."
"Windows Device Management Certificate Installer (TCP out)","Outbound","Allow","Any","Allow outbound TCP traffic from Windows Device Management Certificate Installer"
"Core Networking - Teredo (UDP-Out)","Outbound","Allow","Any","Outbound UDP rule to allow Teredo edge traversal, a technology that provides address assignment and automatic tunneling for unicast IPv6 traffic when an IPv6/IPv4 host is located behind an IPv4 network address translator."
"Core Networking - Router Solicitation (ICMPv6-In)","Inbound","Allow","Any","Router Solicitation messages are sent by nodes seeking routers to provide stateless auto-configuration."
"Wireless Display Infrastructure Back Channel (TCP-In)","Inbound","Allow","Any","Inbound rule for Wireless Display Infrastructure back channel [TCP]"
"Network Discovery (Pub-WSD-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]"
"Core Networking - Group Policy (LSASS-Out)","Outbound","Allow","Domain","Outbound rule to allow remote LSASS traffic for Group Policy updates [TCP]."
"Recommended Troubleshooting Client (HTTP/HTTPS Out)","Outbound","Allow","Any","Allow outbound HTTP/HTTPS traffic from Recommended Troubleshooting Client"
"Remote Assistance (PNRP-In)","Inbound","Allow","Domain, Private","Inbound rule for Remote Assistance to allow use Peer Name Resolution Protocol. [UDP 3540]"
"DIAL protocol server (HTTP-In)","Inbound","Allow","Domain","Inbound rule for DIAL protocol server to allow remote control of Apps using HTTP. [TCP 10247]"
"Network Discovery (Pub WSD-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]"
"Wireless Display (TCP-Out)","Outbound","Allow","Any","Outbound rule for Wireless Display [TCP]"
"Wireless Display (UDP-Out)","Outbound","Allow","Any","Outbound rule for Wireless Display [UDP]"
"Remote Assistance (RA Server TCP-Out)","Outbound","Allow","Domain","Outbound rule for Remote Assistance to allow offers for assistance. [TCP]"
"Core Networking - Router Advertisement (ICMPv6-Out)","Outbound","Allow","Any","Router Advertisement messages are sent by routers to other nodes for stateless auto-configuration."
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)","Inbound","Allow","Any","Neighbor Discovery Advertisement messages are sent by nodes to notify other nodes of link-layer address changes or in response to a Neighbor Discovery Solicitation request."
"Core Networking - IPHTTPS (TCP-Out)","Outbound","Allow","Any","Outbound TCP rule to allow IPHTTPS tunneling technology to provide connectivity across HTTP proxies and firewalls."
"Microsoft Media Foundation Network Source IN [TCP 554]","Inbound","Allow","Any","InBound Rule for the Microsoft Media Foundation's Capture SVC to open TCP port to enable RTSP"
"Core Networking - Internet Group Management Protocol (IGMP-Out)","Outbound","Allow","Any","IGMP messages are sent and received by nodes to create, join and depart multicast groups."
"Network Discovery (NB-Name-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow NetBIOS Name Resolution. [UDP 137]"
"Core Networking - Parameter Problem (ICMPv6-In)","Inbound","Allow","Any","Parameter Problem error messages are sent by nodes as a result of incorrectly generated packets."
"Core Networking - DNS (UDP-Out)","Outbound","Allow","Any","Outbound rule to allow DNS requests. DNS responses based on requests that matched this rule will be permitted regardless of source address.  This behavior is classified as loose source mapping. [LSM] [UDP 53]"
"Network Discovery (NB-Datagram-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow NetBIOS Datagram transmission and reception. [UDP 138]"
"Core Networking - Teredo (UDP-In)","Inbound","Allow","Any","Inbound UDP rule to allow Teredo edge traversal, a technology that provides address assignment and automatic tunneling for unicast IPv6 traffic when an IPv6/IPv4 host is located behind an IPv4 network address translator."
"Microsoft Media Foundation Network Source OUT [TCP ALL]","Outbound","Allow","Any","OutBound Rule for the Microsoft Media Foundation's Capture SVC to open TCP port to enable RTSP"
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)","Outbound","Allow","Any","Neighbor Discovery Advertisement messages are sent by nodes to notify other nodes of link-layer address changes or in response to a Neighbor Discovery Solicitation request."
"AllJoyn Router (UDP-Out)","Outbound","Allow","Domain, Private","Outbound rule for AllJoyn Router traffic [UDP]"
"Windows Device Management Device Enroller (TCP out)","Outbound","Allow","Any","Allow outbound TCP traffic from Windows Device Management Device Enroller"
"Core Networking - Multicast Listener Query (ICMPv6-Out)","Outbound","Allow","Any","An IPv6 multicast-capable router uses the Multicast Listener Query message to query a link for multicast group membership."
"Remote Assistance (SSDP UDP-In)","Inbound","Allow","Domain, Private","Inbound rule for Remote Assistance to allow use of the Simple Service Discovery Protocol. [UDP 1900]"
"Network Discovery (LLMNR-UDP-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow Link Local Multicast Name Resolution. [UDP 5355]"
"Core Networking - Time Exceeded (ICMPv6-Out)","Outbound","Allow","Any","Time Exceeded error messages are generated from any node that a packet traverses if the Hop Limit value is decremented to zero at any point on the path."
"Network Discovery (SSDP-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow use of the Simple Service Discovery Protocol. [UDP 1900]"
"Connected Devices Platform (UDP-In)","Inbound","Allow","Domain, Private","Inbound rule for Connected Devices Platform traffic [UDP]"
"Connected Devices Platform (TCP-In)","Inbound","Allow","Domain, Private","Inbound rule for Connected Devices Platform traffic [TCP]"
"mDNS (UDP-In)","Inbound","Allow","Private","Inbound rule for mDNS traffic [UDP]"
"AllJoyn Router (TCP-Out)","Outbound","Allow","Domain, Private","Outbound rule for AllJoyn Router traffic [TCP]"
"Proximity sharing over TCP (TCP sharing-Out)","Outbound","Allow","Any","Outbound rule for Proximity sharing over TCP"
"Network Discovery (LLMNR-UDP-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow Link Local Multicast Name Resolution. [UDP 5355]"
"Core Networking - Multicast Listener Report (ICMPv6-Out)","Outbound","Allow","Any","The Multicast Listener Report message is used by a listening node to either immediately report its interest in receiving multicast traffic at a specific multicast address or in response to a Multicast Listener Query."
"Wi-Fi Direct Network Discovery (Out)","Outbound","Allow","Public","Outbound rule to discover WSD devices on Wi-Fi Direct networks."
"Core Networking - Packet Too Big (ICMPv6-In)","Inbound","Allow","Any","Packet Too Big error messages are sent from any node that a packet traverses which is unable to forward the packet because the packet is too large for the next link."
"Core Networking - Dynamic Host Configuration Protocol (DHCP-Out)","Outbound","Allow","Any","Allows DHCP (Dynamic Host Configuration Protocol) messages for stateful auto-configuration."
"Core Networking - IPHTTPS (TCP-In)","Inbound","Allow","Any","Inbound TCP rule to allow IPHTTPS tunneling technology to provide connectivity across HTTP proxies and firewalls."
"AllJoyn Router (TCP-In)","Inbound","Allow","Domain, Private","Inbound rule for AllJoyn Router traffic [TCP]"
"AllJoyn Router (UDP-In)","Inbound","Allow","Domain, Private","Inbound rule for AllJoyn Router traffic [UDP]"
"Remote Assistance (PNRP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Remote Assistance to allow use of Peer Name Resolution Protocol. [UDP]"
"Core Networking - Multicast Listener Done (ICMPv6-In)","Inbound","Allow","Any","Multicast Listener Done messages inform local routers that there are no longer any members remaining for a specific multicast address on the subnet."
"Connected User Experiences and Telemetry","Outbound","Allow","Any","Unified Telemetry Client Outbound Traffic"
"Core Networking - Destination Unreachable (ICMPv6-In)","Inbound","Allow","Any","Destination Unreachable error messages are sent from any node that a packet traverses which is unable to forward the packet for any reason except congestion."
"Wi-Fi Direct Scan Service Use (Out)","Outbound","Allow","Public","Outbound rule to use WSD scanners on Wi-Fi Direct networks."
"Network Discovery (NB-Datagram-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow NetBIOS Datagram transmission and reception. [UDP 138]"
"Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)","Inbound","Allow","Public","Inbound rule to use Wi-Fi Direct traffic in the Connected Devices Platform [TCP]"
"mDNS (UDP-Out)","Outbound","Allow","Private","Outbound rule for mDNS traffic [UDP]"
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)","Outbound","Allow","Any","Neighbor Discovery Solicitations are sent by nodes to discover the link-layer address of another on-link IPv6 node."
"Wi-Fi Direct Network Discovery (In)","Inbound","Allow","Public","Inbound rule to discover WSD devices on Wi-Fi Direct networks."
"Wireless Display (TCP-In)","Inbound","Allow","Any","Inbound rule for Wireless Display [TCP]"
"Core Networking - IPv6 (IPv6-Out)","Outbound","Allow","Any","Outbound rule required to permit IPv6 traffic for ISATAP (Intra-Site Automatic Tunnel Addressing Protocol) and 6to4 tunneling services."
"Network Discovery (WSD EventsSecure-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow Secure WSDAPI Events via Function Discovery. [TCP 5358]"
"Remote Assistance (SSDP TCP-In)","Inbound","Allow","Domain, Private","Inbound rule for Remote Assistance to allow use of Universal Plug and Play. [TCP 2869]"
"Proximity sharing over TCP (TCP sharing-In)","Inbound","Allow","Any","Inbound rule for Proximity sharing over TCP"
"Core Networking - Internet Group Management Protocol (IGMP-In)","Inbound","Allow","Any","IGMP messages are sent and received by nodes to create, join and depart multicast groups."
"Core Networking - Group Policy (NP-Out)","Outbound","Allow","Domain","Core Networking - Group Policy (NP-Out)"
"Core Networking - Multicast Listener Report v2 (ICMPv6-In)","Inbound","Allow","Any","Multicast Listener Report v2 message is used by a listening node to either immediately report its interest in receiving multicast traffic at a specific multicast address or in response to a Multicast Listener Query."
"Network Discovery (WSD-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]"
"Core Networking - Multicast Listener Query (ICMPv6-In)","Inbound","Allow","Any","An IPv6 multicast-capable router uses the Multicast Listener Query message to query a link for multicast group membership."
"Windows Device Management Sync Client (TCP out)","Outbound","Allow","Any","Allow outbound TCP traffic from Windows Device Management Sync Client"
"Core Networking - Multicast Listener Report (ICMPv6-In)","Inbound","Allow","Any","The Multicast Listener Report message is used by a listening node to either immediately report its interest in receiving multicast traffic at a specific multicast address or in response to a Multicast Listener Query."
"DIAL protocol server (HTTP-In)","Inbound","Allow","Private","Inbound rule for DIAL protocol server to allow remote control of Apps using HTTP. [TCP 10247]"
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-Out)","Outbound","Allow","Any","Allows DHCPV6 (Dynamic Host Configuration Protocol for IPv6) messages for stateful and stateless configuration."
"Core Networking - Time Exceeded (ICMPv6-In)","Inbound","Allow","Any","Time Exceeded error messages are generated from any node that a packet traverses if the Hop Limit value is decremented to zero at any point on the path."
"mDNS (UDP-In)","Inbound","Allow","Domain","Inbound rule for mDNS traffic [UDP]"
"Remote Assistance (TCP-In)","Inbound","Allow","Domain, Private","Inbound rule for Remote Assistance traffic. [TCP]"
"Network Discovery (UPnPHost-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP]"
"Network Discovery (NB-Name-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow NetBIOS Name Resolution. [UDP 137]"
"Core Networking - Group Policy (TCP-Out)","Outbound","Allow","Domain","Outbound rule to allow remote RPC traffic for Group Policy updates. [TCP]"
"mDNS (UDP-In)","Inbound","Allow","Public","Inbound rule for mDNS traffic [UDP]"
"Cast to Device functionality (qWave-TCP-Out)","Outbound","Allow","Private, Public","Outbound rule for the Cast to Device functionality to allow use of the Quality Windows Audio Video Experience Service. [TCP 2177]"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow","Private","Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow","Public","Outbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow","Private","Outbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow","Domain","Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow","Domain","Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [TCP 23554, 23555, 23556]"
"Cast to Device functionality (qWave-UDP-In)","Inbound","Allow","Private, Public","Inbound rule for the Cast to Device functionality to allow use of the Quality Windows Audio Video Experience Service. [UDP 2177]"
"Cloud Identity (TCP-Out)","Outbound","Allow","Any","Outbound rule to allow the Microsoft cloud identity NT Service (cloudidsvc) to make network requests required for its functionality [TCP]"
"Cast to Device functionality (qWave-UDP-Out)","Outbound","Allow","Private, Public","Outbound rule for the Cast to Device functionality to allow use of the Quality Windows Audio Video Experience Service. [UDP 2177]"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow","Private","Inbound rule for the Cast to Device server to allow streaming using HTTP. [TCP 10246]"
"Cast to Device functionality (qWave-TCP-In)","Inbound","Allow","Private, Public","Inbound rule for the Cast to Device functionality to allow use of the Quality Windows Audio Video Experience Service. [TCP 2177]"
"Cast to Device SSDP Discovery (UDP-In)","Inbound","Allow","Public","Inbound rule to allow discovery of Cast to Device targets using SSDP"
"Cast to Device streaming server (RTP-Streaming-Out)","Outbound","Allow","Domain","Outbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]"
"Cast to Device UPnP Events (TCP-In)","Inbound","Allow","Public","Inbound rule to allow receiving UPnP Events from Cast to Device targets"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow","Private","Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [TCP 23554, 23555, 23556]"
"Cast to Device streaming server (RTCP-Streaming-In)","Inbound","Allow","Public","Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow","Domain","Inbound rule for the Cast to Device server to allow streaming using HTTP. [TCP 10246]"
"Cast to Device streaming server (HTTP-Streaming-In)","Inbound","Allow","Public","Inbound rule for the Cast to Device server to allow streaming using HTTP. [TCP 10246]"
"Cast to Device streaming server (RTSP-Streaming-In)","Inbound","Allow","Public","Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [TCP 23554, 23555, 23556]"
"WFD ASP Coordination Protocol (UDP-Out)","Outbound","Allow","Any","Outbound rule for WLAN Service to allow coordination protocol for WFD Service sessions [UDP 7235]"
"WFD Driver-only (TCP-In)","Inbound","Allow","Any","Inbound rule for drivers to communicate over WFD (TCP-In)"
