"DisplayName","Direction","Action","Profile","Description"
"WFD Driver-only (UDP-In)","Inbound","Allow","Any","Inbound rule for drivers to communicate over WFD (UDP-In)"
"WFD Driver-only (TCP-Out)","Outbound","Allow","Any","Inbound rule for drivers to communicate over WFD (TCP-Out)"
"WFD Driver-only (UDP-Out)","Outbound","Allow","Any","Inbound rule for drivers to communicate over WFD (UDP-Out)"
"WFD ASP Coordination Protocol (UDP-In)","Inbound","Allow","Any","Inbound rule for WLAN Service to allow coordination protocol for WFD Service sessions [UDP 7235]"
"Windows Maps","Outbound","Allow","Any","Windows Maps"
"Mail and Calendar","Inbound","Allow","Any","Mail and Calendar"
"Mail and Calendar","Outbound","Allow","Any","Mail and Calendar"
"Skype","Inbound","Allow","Domain, Private","Skype"
"Skype","Outbound","Allow","Any","Skype"
"MSI Game Bar","Inbound","Allow","Domain, Private","MSI Game Bar"
"MSI Game Bar","Outbound","Allow","Any","MSI Game Bar"
"Microsoft 365 (Office)","Outbound","Allow","Any","Microsoft 365 (Office)"
"Microsoft Sticky Notes","Inbound","Allow","Domain, Private","Microsoft Sticky Notes"
"Microsoft Sticky Notes","Outbound","Allow","Any","Microsoft Sticky Notes"
"Mixed Reality Portal","Outbound","Allow","Any","Mixed Reality Portal"
"Microsoft People","Outbound","Allow","Any","Microsoft People"
"Xbox TCUI","Outbound","Allow","Any","Xbox TCUI"
"Narrator","Outbound","Allow","Any","Narrator Home"
"Microsoft Teams","Inbound","Allow","Any","Microsoft Teams"
"Microsoft Teams","Inbound","Allow","Any","Microsoft Teams"
"Microsoft Teams (personal)","Inbound","Allow","Any","Microsoft Teams (personal)"
"Microsoft Teams (personal)","Inbound","Allow","Any","Microsoft Teams (personal)"
"Windows Print","Outbound","Allow","Any","Windows Print"
"@{MicrosoftWindows.LKG.TwinSxS_1000.26100.3912.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.TwinSxS/Resources/ProductPkgDisplayName}","Outbound","Allow","Any","@{MicrosoftWindows.LKG.TwinSxS_1000.26100.3912.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.TwinSxS/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.55182690.Taskbar_1000.26100.3912.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.55182690.Taskbar/Resources/ProductPkgDisplayName}","Outbound","Allow","Any","@{MicrosoftWindows.55182690.Taskbar_1000.26100.3912.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.55182690.Taskbar/Resources/ProductPkgDisplayName}"
"Xbox Game UI","Outbound","Allow","Any","Xbox Game UI"
"Take a Test","Outbound","Allow","Any","Take a Test"
"Print Queue","Outbound","Allow","Any","Print Queue"
"Windows Shell Experience","Outbound","Allow","Any","Windows Shell Experience"
"Microsoft Family Safety","Outbound","Allow","Any","Microsoft Family Safety"
"Microsoft Content","Outbound","Allow","Any","Microsoft Content"
"Your account","Inbound","Allow","Domain, Private","Your account"
"Your account","Outbound","Allow","Any","Your account"
"Windows Defender SmartScreen","Outbound","Allow","Any","Windows Defender SmartScreen"
"Desktop App Web Viewer","Inbound","Allow","Any","Desktop App Web Viewer"
"Desktop App Web Viewer","Outbound","Allow","Any","Desktop App Web Viewer"
"Email and accounts","Outbound","Allow","Any","Email and accounts"
"Work or school account","Inbound","Allow","Domain, Private","Work or school account"
"Work or school account","Outbound","Allow","Any","Work or school account"
"News","Outbound","Allow","Domain, Private, Public","News"
"Steam","Inbound","Allow","Domain, Private, Public",
"Steam","Inbound","Allow","Domain, Private, Public",
"Steam Web Helper","Inbound","Allow","Domain, Private, Public",
"Steam Web Helper","Inbound","Allow","Domain, Private, Public",
"3DMark","Inbound","Allow","Domain, Private, Public",
"3DMark","Inbound","Allow","Domain, Private, Public",
"Start","Outbound","Allow","Domain, Private, Public","Start"
"Start","Inbound","Allow","Domain, Private","Start"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Inbound","Allow","Domain, Private","Windows Feature Experience Pack"
"Toolkit","Inbound","Allow","Private","Toolkit"
"Toolkit","Inbound","Allow","Private","Toolkit"
"Seagate DiscWizard","Inbound","Allow","Any","Seagate DiscWizard"
"DiscWizardMonitor.exe","Inbound","Allow","Any","DiscWizardMonitor.exe"
"DiscWizardTools.exe","Inbound","Allow","Any","DiscWizardTools.exe"
"DiscWizardService.exe","Inbound","Allow","Any","DiscWizardService.exe"
"Seagate Media Builder","Inbound","Allow","Any","Seagate Media Builder"
"Seagate System Report","Inbound","Allow","Any","Seagate System Report"
"ga_service.exe","Inbound","Allow","Any","ga_service.exe"
"LicenseActivator.exe","Inbound","Allow","Any","LicenseActivator.exe"
"report_sender.exe","Inbound","Allow","Any","report_sender.exe"
"Seagate Alert Manager","Inbound","Allow","Any","Seagate Alert Manager"
"Seagate Task Manager","Inbound","Allow","Any","Seagate Task Manager"
"Seagate Agent Core Service","Inbound","Allow","Any","Seagate Agent Core Service"
"Wallpaper Engine UI","Inbound","Allow","Domain, Private, Public",
"Wallpaper Engine UI","Inbound","Allow","Domain, Private, Public",
"OneNote for Windows 10","Outbound","Allow","Domain, Private, Public","OneNote for Windows 10"
"OneNote for Windows 10","Inbound","Allow","Domain, Private","OneNote for Windows 10"
"?Torrent (TCP-In)","Inbound","Allow","Any","Allow ?Torrent network traffic with Edge Traversal"
"?Torrent (UDP-In)","Inbound","Allow","Any","Allow ?Torrent network traffic with Edge Traversal"
"OBS Studio","Inbound","Allow","Domain, Private, Public",
"OBS Studio","Inbound","Allow","Domain, Private, Public",
"@{MicrosoftWindows.56978801.Voiess_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.56978801.Voiess/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.56978801.Voiess_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.56978801.Voiess/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.57058570.Speion_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57058570.Speion/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.57058570.Speion_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57058570.Speion/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.57074904.InpApp_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074904.InpApp/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.57074904.InpApp_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074904.InpApp/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.57074914.Livtop_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074914.Livtop/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.57074914.Livtop_1000.26100.4946.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57074914.Livtop/Resources/ProductPkgDisplayName}"
"Logi Options+ Agent","Inbound","Allow","Any","Logi Options+ Agent"
"Logi Options+ Agent","Inbound","Allow","Any","Logi Options+ Agent"
"DaVinciResolve","Inbound","Allow","Private",
"DaVinciResolveBmdpaneld","Inbound","Allow","Private",
"DaVinciResolvePanel","Inbound","Allow","Private",
"DaVinciResolveJLCooper","Inbound","Allow","Private",
"DaVinciResolveEuphonix","Inbound","Allow","Private",
"DaVinciResolveTangent","Inbound","Allow","Private",
"DaVinciResolveElements","Inbound","Allow","Private",
"DaVinciResolveFuScript","Inbound","Allow","Private",
"Widgets Platform Runtime","Outbound","Allow","Domain, Private, Public","Widgets Platform Runtime"
"Toolkit","Inbound","Allow","Public","Toolkit"
"Toolkit","Inbound","Allow","Public","Toolkit"
"Cyberpunk 2077","Inbound","Allow","Private, Public","Cyberpunk 2077"
"Cyberpunk 2077","Inbound","Allow","Private, Public","Cyberpunk 2077"
"MSN Weather","Outbound","Allow","Domain, Private, Public","MSN Weather"
"MSN Weather","Inbound","Allow","Domain, Private","MSN Weather"
"Microsoft Edge Game Assist","Outbound","Allow","Domain, Private, Public","Microsoft Edge Game Assist"
"Xbox Identity Provider","Outbound","Allow","Domain, Private, Public","Xbox Identity Provider"
"NVIDIA Control Panel","Outbound","Allow","Domain, Private, Public","NVIDIA Control Panel"
"@{MicrosoftWindows.54792954.Filons_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.54792954.Filons/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.54792954.Filons_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.54792954.Filons/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.58680125.Speion_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.58680125.Speion/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.58680125.Speion_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.58680125.Speion/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.58681517.Voiess_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.58681517.Voiess/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.58681517.Voiess_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.58681517.Voiess/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.58681560.Livtop_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.58681560.Livtop/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.58681560.Livtop_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.58681560.Livtop/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.58683691.InpApp_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.58683691.InpApp/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.58683691.InpApp_1000.26100.7171.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.58683691.InpApp/Resources/ProductPkgDisplayName}"
"@{Microsoft.ZuneVideo_10.25101.10031.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ZuneVideo/resources/IDS_MANIFEST_VIDEO_APP_NAME}","Outbound","Allow","Domain, Private, Public","@{Microsoft.ZuneVideo_10.25101.10031.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ZuneVideo/resources/IDS_MANIFEST_VIDEO_APP_DESCRIPTION}"
"@{Microsoft.ZuneVideo_10.25101.10031.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ZuneVideo/resources/IDS_MANIFEST_VIDEO_APP_NAME}","Inbound","Allow","Domain, Private","@{Microsoft.ZuneVideo_10.25101.10031.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ZuneVideo/resources/IDS_MANIFEST_VIDEO_APP_DESCRIPTION}"
"Sid Meier's Civilization VI","Inbound","Allow","Domain, Private, Public",
"Sid Meier's Civilization VI","Inbound","Allow","Domain, Private, Public",
"Sid Meier's Civilization VI","Inbound","Allow","Domain, Private, Public",
"Sid Meier's Civilization VI","Inbound","Allow","Domain, Private, Public",
"Logi Plugin Service","Inbound","Allow","Any",
"Windows Calculator","Outbound","Allow","Domain, Private, Public","Windows Calculator"
"Xbox Game Bar Plugin","Outbound","Allow","Domain, Private, Public","Xbox Game Bar Plugin"
"Windows Camera","Outbound","Allow","Domain, Private, Public","Windows Camera"
"Windows Camera","Inbound","Allow","Domain, Private","Windows Camera"
"Captive Portal Flow","Outbound","Allow","Domain, Private, Public","Captive Portal Flow"
"Get Help","Outbound","Allow","Domain, Private, Public","Get Help"
"Steam Web Helper","Inbound","Allow","Domain, Private, Public",
"Steam Web Helper","Inbound","Allow","Domain, Private, Public",
"python.exe","Inbound","Allow","Public","python.exe"
"python.exe","Inbound","Allow","Public","python.exe"
"iCloud","Outbound","Allow","Domain, Private, Public","iCloud"
"StarbaseSim Demo{6226C7A2-9B0A-4CD1-8499-0DEE879636A8}","Inbound","Allow","Domain, Private, Public",
"StarbaseSim Demo{E6319D14-0446-4CFA-A7D3-E06F879DBF09}","Inbound","Allow","Domain, Private, Public",
"Windows Terminal","Outbound","Allow","Domain, Private, Public","Windows Terminal"
"Windows Clock","Outbound","Allow","Domain, Private, Public","Windows Clock"
"Windows Clock","Inbound","Allow","Domain, Private","Windows Clock"
"Windows Sound Recorder","Outbound","Allow","Domain, Private, Public","Windows Sound Recorder"
"Windows Web Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Web Experience Pack"
"@{MicrosoftWindows.59336768.Speion_1000.26100.7824.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.59336768.Speion/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.59336768.Speion_1000.26100.7824.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.59336768.Speion/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.59337133.Voiess_1000.26100.7824.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.59337133.Voiess/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.59337133.Voiess_1000.26100.7824.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.59337133.Voiess/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.59337145.Livtop_1000.26100.7824.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.59337145.Livtop/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.59337145.Livtop_1000.26100.7824.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.59337145.Livtop/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.59379618.InpApp_1000.26100.7824.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.59379618.InpApp/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.59379618.InpApp_1000.26100.7824.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.59379618.InpApp/Resources/ProductPkgDisplayName}"
"Deadlock","Inbound","Allow","Domain, Private, Public",
"Deadlock","Inbound","Allow","Domain, Private, Public",
"Dota 2","Inbound","Allow","Domain, Private, Public",
"Dota 2","Inbound","Allow","Domain, Private, Public",
"WARNO","Inbound","Allow","Domain, Private, Public",
"WARNO","Inbound","Allow","Domain, Private, Public",
"Feedback Hub","Outbound","Allow","Domain, Private, Public","Feedback Hub"
"Feedback Hub","Inbound","Allow","Domain, Private","Feedback Hub"
"VMware Authd Service","Inbound","Allow","Domain",
"VMware Authd Service (private)","Inbound","Allow","Private",
"Windows Media Player","Outbound","Allow","Domain, Private, Public","Windows Media Player"
"Windows Media Player","Inbound","Allow","Domain, Private","Windows Media Player"
"@{MicrosoftWindows.57242383.Tasbar_1000.26100.8036.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57242383.Tasbar/Resources/ProductPkgDisplayName}","Outbound","Allow","Domain, Private, Public","@{MicrosoftWindows.57242383.Tasbar_1000.26100.8036.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.57242383.Tasbar/Resources/ProductPkgDisplayName}"
"Any DVD","Outbound","Allow","Domain, Private, Public","Any DVD"
"Game Bar","Outbound","Allow","Domain, Private, Public","Game Bar"
"Game Bar","Inbound","Allow","Domain, Private, Public","Game Bar"
"Farthest Frontier","Inbound","Allow","Domain, Private, Public",
"Farthest Frontier","Inbound","Allow","Domain, Private, Public",
"App Installer","Outbound","Allow","Domain, Private, Public","App Installer"
"App Installer","Inbound","Allow","Domain, Private","App Installer"
"Start Experiences App","Outbound","Allow","Domain, Private, Public","Start Experiences App"
"Warframe Steam Launcher (TCP-In)","Inbound","Allow","Public",
"Warframe Steam Game 64-bit (UDP-In)","Inbound","Allow","Public",
"Warframe Steam Game 64-bit (TCP-In)","Inbound","Allow","Public",
"Warframe Steam RemoteCrashSender (TCP-In)","Inbound","Allow","Public",
"Warframe Steam Launcher (TCP-Out)","Outbound","Allow","Public",
"Warframe Steam Game 64-bit (UDP-Out)","Outbound","Allow","Public",
"Warframe Steam Game 64-bit (TCP-Out)","Outbound","Allow","Public",
"Warframe Steam RemoteCrashSender (TCP-Out)","Outbound","Allow","Public",
"Microsoft Clipchamp","Outbound","Allow","Domain, Private, Public","Microsoft Clipchamp"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Outbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Outbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Inbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Outbound","Allow","Any","ms-resource:AppTitle"
"ms-resource:AppTitle","Outbound","Allow","Any","ms-resource:AppTitle"
"Spotify - Music and Podcasts","Outbound","Allow","Domain, Private, Public","Spotify - Music and Podcasts"
"windows_ie_ac_001","Outbound","Allow","Domain, Private, Public","Created by IE"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","Public","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","Private","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","Public","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","Private","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","Public","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","Private","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","Public","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","Private","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","Public","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","Private","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","Public","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","Private","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","Public","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","Private","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","Public","ms-resource:ProductPkgDisplayName"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","Private","ms-resource:ProductPkgDisplayName"
"Windows Default Lock Screen","Outbound","Allow","Domain, Private, Public","Windows Default Lock Screen"
"Windows Shell Experience","Outbound","Allow","Domain, Private","Windows Shell Experience"
"Windows Shell Experience","Inbound","Allow","Domain, Private","Windows Shell Experience"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Inbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Click to Do","Outbound","Allow","Domain, Private, Public","Click to Do"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Inbound","Allow","Domain, Private","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Inbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Rust - Staging Branch","Inbound","Allow","Domain, Private, Public",
"Rust - Staging Branch","Inbound","Allow","Domain, Private, Public",
"Rust","Inbound","Allow","Domain, Private, Public",
"Rust","Inbound","Allow","Domain, Private, Public",
"rustdedicated.exe","Inbound","Allow","Public","rustdedicated.exe"
"rustdedicated.exe","Inbound","Allow","Public","rustdedicated.exe"
"Farthest Frontier","Inbound","Allow","Domain, Private, Public",
"Farthest Frontier","Inbound","Allow","Domain, Private, Public",
"Microsoft Edge (mDNS-In)","Inbound","Allow","Any","Inbound rule for Microsoft Edge to allow mDNS traffic."
"Microsoft Edge (mDNS-In)","Inbound","Allow","Any","Inbound rule for Microsoft Edge to allow mDNS traffic."
"DuckDuckGo","Inbound","Allow","Any","DuckDuckGo"
"DuckDuckGo","Inbound","Allow","Any","DuckDuckGo"
"DuckDuckGo","Outbound","Allow","Domain, Private, Public","DuckDuckGo"
"Brave (mDNS-In)","Inbound","Allow","Any","Inbound rule for Brave to allow mDNS traffic."
"Microsoft Store","Outbound","Allow","Domain, Private, Public","Microsoft Store"
"Microsoft Store","Inbound","Allow","Domain, Private, Public","Microsoft Store"
"Windows Security","Outbound","Allow","Domain, Private, Public","Windows Security"
"Windows Security","Inbound","Allow","Domain, Private","Windows Security"
"Store Experience Host","Outbound","Allow","Domain, Private, Public","Store Experience Host"
"Store Experience Host","Inbound","Allow","Domain, Private","Store Experience Host"
"Solitaire & Casual Games","Outbound","Allow","Domain, Private, Public","Solitaire & Casual Games"
"Solitaire & Casual Games","Inbound","Allow","Domain, Private","Solitaire & Casual Games"
"Xbox","Outbound","Allow","Domain, Private, Public","Xbox"
"Xbox","Inbound","Allow","Domain, Private","Xbox"
"Microsoft To Do","Outbound","Allow","Domain, Private, Public","Microsoft To Do"
"Microsoft To Do","Inbound","Allow","Domain, Private","Microsoft To Do"
"python.exe","Inbound","Allow","Public","python.exe"
"python.exe","Inbound","Allow","Public","python.exe"
"MSI Center Bridge","Inbound","Allow","Any",
"MSI Center - SyncServer","Inbound","Allow","Any",
"MSI Center - Terminal Server","Inbound","Allow","Any",
