"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","PID","ProcessName","ProcessPath","CreationTime"
"::","65526","::","0","Bound","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"::","65523","::","0","Bound","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"::","65190","::","0","Bound","25900","SteelSeriesSonar","C:\Program Files\SteelSeries\GG\apps\sonar\SteelSeriesSonar.exe","4/12/2026 12:34:07"
"::","64989","::","0","Bound","12868","MSI.CentralServer",,"4/12/2026 12:34:02"
"::","64897","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:42"
"::","64354","::","0","Bound","36780","iCloudCKKS","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudCKKS.exe","4/12/2026 19:12:14"
"::","64345","::","0","Bound","40748","SpotifyLauncher","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\SpotifyLauncher.exe","4/12/2026 19:12:10"
"::","64173","::","0","Bound","25900","SteelSeriesSonar","C:\Program Files\SteelSeries\GG\apps\sonar\SteelSeriesSonar.exe","4/12/2026 19:10:44"
"::","63686","::","0","Bound","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:06:33"
"::","63683","::","0","Bound","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:06:30"
"::","63676","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 18:39:39"
"::","62504","::","0","Bound","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:22"
"::","62491","::","0","Bound","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:21"
"::","62332","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:09:59"
"::","58686","::","0","Bound","6900","MpDefenderCoreService",,"4/12/2026 19:10:59"
"::","58400","::","0","Bound","6200","Obsidian","C:\Users\Nebula\AppData\Local\Programs\Obsidian\Obsidian.exe","4/12/2026 19:08:43"
"::","58399","::","0","Bound","6200","Obsidian","C:\Users\Nebula\AppData\Local\Programs\Obsidian\Obsidian.exe","4/12/2026 19:08:43"
"::","56653","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:10:00"
"::","56236","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:10:00"
"::","55429","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:10:00"
"::","54920","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 18:54:41"
"::","54038","::","0","Bound","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:07:58"
"::","50598","::","0","Bound","39796","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:40"
"::","49809","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 13:52:54"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","65526","2620:149:a41:580:e::1","443","CloseWait","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","65523","2620:149:a41:580:e::1","443","CloseWait","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","64897","2600:1901:1:510::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:42"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","64354","2620:149:a41:580::2:4","443","Established","36780","iCloudCKKS","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudCKKS.exe","4/12/2026 19:12:14"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","64345","2600:1901:1:7c5::","443","Established","40748","SpotifyLauncher","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\SpotifyLauncher.exe","4/12/2026 19:12:10"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","63686","2607:6bc0::10","443","Established","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:06:33"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","63683","2607:6bc0::10","443","Established","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:06:30"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","63676","2600:1901:1:7c5::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 18:39:39"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","62504","2606:4700:7::a5","443","CloseWait","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:22"
"::1","62491","::1","62490","Established","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:21"
"::1","62490","::1","62491","Established","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:21"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","62332","2600:1901:1:365::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:09:59"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","58686","2603:1063:9:149::365:7ea3","443","Established","6900","MpDefenderCoreService",,"4/12/2026 19:10:59"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","58400","2606:4700:20::681a:93","443","Established","6200","Obsidian","C:\Users\Nebula\AppData\Local\Programs\Obsidian\Obsidian.exe","4/12/2026 19:08:43"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","58399","2606:50c0:8001::154","443","Established","6200","Obsidian","C:\Users\Nebula\AppData\Local\Programs\Obsidian\Obsidian.exe","4/12/2026 19:08:43"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","56689","2606:4700:3030::6815:43c9","443","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","56653","2606:4700:7::175","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:10:00"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","56236","2600:1901:1:7c5::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:10:00"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","55429","2600:1901:1:7c5::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:10:00"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","54920","2600:1901:1:365::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 18:54:41"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","54038","2607:f8b0:4008:810::201b","443","Established","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:07:58"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","52239","2603:1063:9:149::365:7ea3","443","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","50598","2600:1901:1:510::","443","Established","39796","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:40"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","49809","2607:f8b0:400c:c11::bc","5228","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 13:52:54"
"::","49703","::","0","Listen","1996","services",,"4/12/2026 12:33:45"
"::","49668","::","0","Listen","5288","spoolsv",,"4/12/2026 12:33:43"
"::","49667","::","0","Listen","3796","svchost",,"4/12/2026 12:33:43"
"::","49666","::","0","Listen","2908","svchost",,"4/12/2026 12:33:43"
"::","49665","::","0","Listen","1912","wininit",,"4/12/2026 12:33:43"
"::","49664","::","0","Listen","1284","lsass",,"4/12/2026 12:33:43"
"::","7680","::","0","Listen","4840","svchost",,"4/12/2026 12:34:15"
"::","1462","::","0","Listen","4","System",,"4/12/2026 12:33:44"
"::","445","::","0","Listen","4","System",,"4/12/2026 12:33:44"
"::","135","::","0","Listen","2260","svchost",,"4/12/2026 12:33:43"
"0.0.0.0","65534","0.0.0.0","0","Bound","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 12:34:34"
"0.0.0.0","65533","0.0.0.0","0","Bound","36780","iCloudCKKS","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudCKKS.exe","4/12/2026 12:34:34"
"0.0.0.0","65531","0.0.0.0","0","Bound","36780","iCloudCKKS","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudCKKS.exe","4/12/2026 12:34:34"
"0.0.0.0","65529","0.0.0.0","0","Bound","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"0.0.0.0","65520","0.0.0.0","0","Bound","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 12:34:32"
"0.0.0.0","65221","0.0.0.0","0","Bound","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 18:29:04"
"0.0.0.0","65209","0.0.0.0","0","Bound","26216","SteelSeriesGG",,"4/12/2026 12:34:08"
"0.0.0.0","65208","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:08"
"0.0.0.0","65207","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:08"
"0.0.0.0","65201","0.0.0.0","0","Bound","27560","SteelSeriesPrism","C:\Program Files\SteelSeries\GG\apps\engine\prism\SteelSeriesPrism.exe","4/12/2026 12:34:08"
"0.0.0.0","65200","0.0.0.0","0","Bound","27560","SteelSeriesPrism","C:\Program Files\SteelSeries\GG\apps\engine\prism\SteelSeriesPrism.exe","4/12/2026 12:34:08"
"0.0.0.0","65199","0.0.0.0","0","Bound","27560","SteelSeriesPrism","C:\Program Files\SteelSeries\GG\apps\engine\prism\SteelSeriesPrism.exe","4/12/2026 12:34:08"
"0.0.0.0","65198","0.0.0.0","0","Bound","27560","SteelSeriesPrism","C:\Program Files\SteelSeries\GG\apps\engine\prism\SteelSeriesPrism.exe","4/12/2026 12:34:08"
"0.0.0.0","65016","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:05"
"0.0.0.0","65014","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:05"
"0.0.0.0","65011","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:04"
"0.0.0.0","65010","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:04"
"0.0.0.0","64967","0.0.0.0","0","Bound","6964","svchost",,"4/12/2026 12:33:55"
"0.0.0.0","64363","0.0.0.0","0","Bound","11008","FileCoAuth","C:\Users\Nebula\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\FileCoAuth.exe","4/12/2026 19:12:18"
"0.0.0.0","64360","0.0.0.0","0","Bound","6660","aakore",,"4/12/2026 19:12:17"
"0.0.0.0","64346","0.0.0.0","0","Bound","6880","vmnat",,"4/12/2026 19:12:10"
"0.0.0.0","64317","0.0.0.0","0","Bound","18316","DuckDuckGo.WebView","C:\Program Files\WindowsApps\DuckDuckGo.DesktopBrowser_0.152.4.0_x64__ya2fgkz3nks94\WindowsBrowser\DuckDuckGo.WebView.exe","4/12/2026 12:37:50"
"0.0.0.0","64169","0.0.0.0","0","Bound","21276","grpm-mini",,"4/12/2026 19:10:40"
"0.0.0.0","63645","0.0.0.0","0","Bound","4020","SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","4/12/2026 12:42:04"
"0.0.0.0","63640","0.0.0.0","0","Bound","31832","GitHubDesktop","C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe","4/12/2026 18:57:24"
"0.0.0.0","63419","0.0.0.0","0","Bound","6880","vmnat",,"4/12/2026 19:05:39"
"0.0.0.0","63418","0.0.0.0","0","Bound","6880","vmnat",,"4/12/2026 19:05:39"
"0.0.0.0","63011","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 18:12:15"
"0.0.0.0","62977","0.0.0.0","0","Bound","6908","vmware-authd",,"4/12/2026 18:11:50"
"0.0.0.0","62597","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 18:04:06"
"0.0.0.0","62537","0.0.0.0","0","Bound","6880","vmnat",,"4/12/2026 18:15:18"
"0.0.0.0","62523","0.0.0.0","0","Bound","6908","vmware-authd",,"4/12/2026 18:03:38"
"0.0.0.0","62472","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 18:03:20"
"0.0.0.0","60861","0.0.0.0","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:43"
"0.0.0.0","60725","0.0.0.0","0","Bound","37844","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.109\msedgewebview2.exe","4/12/2026 18:34:36"
"0.0.0.0","60530","0.0.0.0","0","Bound","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 19:04:48"
"0.0.0.0","60499","0.0.0.0","0","Bound","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 19:04:27"
"0.0.0.0","60296","0.0.0.0","0","Bound","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 19:11:41"
"0.0.0.0","58349","0.0.0.0","0","Bound","6660","aakore",,"4/12/2026 19:12:39"
"0.0.0.0","58348","0.0.0.0","0","Bound","7856","adp-agent",,"4/12/2026 19:12:39"
"0.0.0.0","58347","0.0.0.0","0","Bound","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 19:12:38"
"0.0.0.0","58346","0.0.0.0","0","Bound","34592","lghub_agent","C:\Program Files\LGHUB\lghub_agent.exe","4/12/2026 19:12:37"
"0.0.0.0","58345","0.0.0.0","0","Bound","6660","aakore",,"4/12/2026 19:12:36"
"0.0.0.0","58344","0.0.0.0","0","Bound","31832","GitHubDesktop","C:\Users\Nebula\AppData\Local\GitHubDesktop\app-3.5.7\GitHubDesktop.exe","4/12/2026 19:12:36"
"0.0.0.0","57717","0.0.0.0","0","Bound","34216","APSDaemon","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\APSDaemon.exe","4/12/2026 12:34:44"
"0.0.0.0","57469","0.0.0.0","0","Bound","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 18:55:41"
"0.0.0.0","56523","0.0.0.0","0","Bound","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 18:52:41"
"0.0.0.0","56040","0.0.0.0","0","Bound","5928","DuckDuckGo.WebView","C:\Program Files\WindowsApps\DuckDuckGo.DesktopBrowser_0.152.4.0_x64__ya2fgkz3nks94\WindowsBrowser\DuckDuckGo.WebView.exe","4/12/2026 12:34:54"
"0.0.0.0","55747","0.0.0.0","0","Bound","6660","aakore",,"4/12/2026 12:50:31"
"0.0.0.0","55740","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:30"
"0.0.0.0","55734","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:30"
"0.0.0.0","55724","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:29"
"0.0.0.0","55722","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:29"
"0.0.0.0","55720","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:29"
"0.0.0.0","55718","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:29"
"0.0.0.0","55716","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:29"
"0.0.0.0","55714","0.0.0.0","0","Bound","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 12:50:29"
