"LocalAddress","LocalPort","PID","ProcessName"
"::","61730","5360","nordvpn-service"
"::","61436","3556","svchost"
"::1","61006","11136","svchost"
"fe80::40be:cbc9:7aeb:24d6%14","61005","11136","svchost"
"fe80::73b8:be76:249a:f79f%15","61004","11136","svchost"
"fe80::c3e:4129:fe2a:30aa%24","61003","11136","svchost"
"fe80::9de9:f3ad:23e:edca%18","61002","11136","svchost"
"fe80::c740:f7d5:7953:1c70%63","61001","11136","svchost"
"::","59893","3556","svchost"
"::","54060","3556","svchost"
"::","50469","9000","updater"
"::","50467","9000","updater"
"::1","50464","9000","updater"
"fe80::b3f:dfc3:68f9:89be%6","50463","9000","updater"
"fe80::40be:cbc9:7aeb:24d6%14","50462","9000","updater"
"fe80::73b8:be76:249a:f79f%15","50461","9000","updater"
"fe80::32ac:1c44:a2a3:368e%17","50460","9000","updater"
"fe80::c740:f7d5:7953:1c70%13","50459","9000","updater"
"fe80::d4a9:fba2:2f90:ef1c%11","50458","9000","updater"
"fe80::c3e:4129:fe2a:30aa%24","50457","9000","updater"
"fe80::9de9:f3ad:23e:edca%18","50456","9000","updater"
"fd00:8078:7149:a944:ecb2:86f5:dca6:f4ce","50455","9000","updater"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","50454","9000","updater"
"fd00:8078:7149:a944:7715:b4cb:5cfa:c775","50453","9000","updater"
"2603:9000:a000:346b:77ea:eafd:e895:e39f","50452","9000","updater"
"2603:9000:a000:346b::127b","50451","9000","updater"
"::","49584","40052","Spotify"
"fe80::d4a9:fba2:2f90:ef1c%11","6771","9000","updater"
"fe80::c740:f7d5:7953:1c70%13","6771","9000","updater"
"fe80::9de9:f3ad:23e:edca%18","6771","9000","updater"
"fe80::73b8:be76:249a:f79f%15","6771","9000","updater"
"fe80::40be:cbc9:7aeb:24d6%14","6771","9000","updater"
"fe80::32ac:1c44:a2a3:368e%17","6771","9000","updater"
"fe80::c3e:4129:fe2a:30aa%24","6771","9000","updater"
"fe80::b3f:dfc3:68f9:89be%6","6771","9000","updater"
"fd00:8078:7149:a944:ecb2:86f5:dca6:f4ce","6771","9000","updater"
"fd00:8078:7149:a944:7715:b4cb:5cfa:c775","6771","9000","updater"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","6771","9000","updater"
"2603:9000:a000:346b:77ea:eafd:e895:e39f","6771","9000","updater"
"2603:9000:a000:346b::127b","6771","9000","updater"
"::1","6771","9000","updater"
"::","6771","9000","updater"
"::","5355","3556","svchost"
"::","5353","39796","Spotify"
"fe80::c740:f7d5:7953:1c70%63","1900","11136","svchost"
"fe80::9de9:f3ad:23e:edca%18","1900","11136","svchost"
"fe80::73b8:be76:249a:f79f%15","1900","11136","svchost"
"fe80::40be:cbc9:7aeb:24d6%14","1900","11136","svchost"
"fe80::c3e:4129:fe2a:30aa%24","1900","11136","svchost"
"::1","1900","11136","svchost"
"127.0.0.1","62466","36332","iCloudHome"
"127.0.0.1","62465","36332","iCloudHome"
"127.0.0.1","62464","36780","iCloudCKKS"
"127.0.0.1","62463","36780","iCloudCKKS"
"0.0.0.0","61730","5360","nordvpn-service"
"0.0.0.0","61597","12868","MSI.CentralServer"
"127.0.0.1","61012","11136","svchost"
"192.168.46.1","61011","11136","svchost"
"192.168.246.1","61010","11136","svchost"
"192.168.56.1","61009","11136","svchost"
"192.168.1.17","61008","11136","svchost"
"10.5.0.2","61007","11136","svchost"
"0.0.0.0","59871","11792","logioptionsplus_agent"
"0.0.0.0","59870","11792","logioptionsplus_agent"
"127.0.0.1","58373","34216","APSDaemon"
"127.0.0.1","58372","34216","APSDaemon"
"0.0.0.0","58319","39796","Spotify"
"0.0.0.0","58318","39796","Spotify"
"0.0.0.0","58317","39796","Spotify"
"0.0.0.0","58316","39796","Spotify"
"0.0.0.0","58315","39796","Spotify"
"0.0.0.0","57621","39796","Spotify"
"0.0.0.0","56334","12868","MSI.CentralServer"
"0.0.0.0","56333","12868","MSI.CentralServer"
"0.0.0.0","56332","12868","MSI.CentralServer"
"0.0.0.0","55772","12868","MSI.CentralServer"
"0.0.0.0","55771","12868","MSI.CentralServer"
"0.0.0.0","55770","12868","MSI.CentralServer"
"0.0.0.0","55769","12868","MSI.CentralServer"
"0.0.0.0","55768","12868","MSI.CentralServer"
"0.0.0.0","55767","12868","MSI.CentralServer"
"0.0.0.0","55766","12868","MSI.CentralServer"
"0.0.0.0","55765","12868","MSI.CentralServer"
"127.0.0.1","54249","5516","svchost"
"127.0.0.1","51439","24140","nvcontainer"
"0.0.0.0","50468","9000","updater"
"0.0.0.0","50466","9000","updater"
"192.168.1.17","50465","9000","updater"
"127.0.0.1","50450","9000","updater"
"192.168.46.1","50449","9000","updater"
"192.168.246.1","50448","9000","updater"
"192.168.56.1","50447","9000","updater"
"192.168.1.17","50446","9000","updater"
"192.168.46.1","50444","9000","updater"
"192.168.246.1","50443","9000","updater"
"192.168.56.1","50442","9000","updater"
"192.168.1.17","50441","9000","updater"
"127.0.0.1","14621","6800","LightKeeperService"
"127.0.0.1","10010","24140","nvcontainer"
"0.0.0.0","6888","9000","updater"
"192.168.246.1","6771","9000","updater"
"192.168.56.1","6771","9000","updater"
"192.168.46.1","6771","9000","updater"
"192.168.1.17","6771","9000","updater"
"127.0.0.1","6771","9000","updater"
"0.0.0.0","6771","9000","updater"
"0.0.0.0","5355","3556","svchost"
"0.0.0.0","5353","39796","Spotify"
"0.0.0.0","5353","3552","DuckDuckGo.WebView"
"0.0.0.0","5050","13788","svchost"
"192.168.246.1","1900","9000","updater"
"192.168.56.1","1900","9000","updater"
"192.168.46.1","1900","9000","updater"
"192.168.1.17","1900","9000","updater"
"127.0.0.1","1900","11136","svchost"
"10.5.0.2","1900","11136","svchost"
"0.0.0.0","1900","39796","Spotify"
"192.168.246.1","138","4","System"
"192.168.56.1","138","4","System"
"192.168.46.1","138","4","System"
"192.168.1.17","138","4","System"
"10.5.0.2","138","4","System"
"192.168.246.1","137","4","System"
"192.168.56.1","137","4","System"
"192.168.46.1","137","4","System"
"192.168.1.17","137","4","System"
"10.5.0.2","137","4","System"
