"Name","DisplayName","PathName","State","StartMode","Description"
"1394ohci","1394 OHCI Compliant Host Controller","C:\WINDOWS\system32\drivers\1394ohci.sys","Stopped","Manual","1394 OHCI Compliant Host Controller"
"3ware","3ware","C:\WINDOWS\system32\drivers\3ware.sys","Stopped","Manual","3ware"
"ACPI","Microsoft ACPI Driver","C:\WINDOWS\system32\drivers\ACPI.sys","Running","Boot","Microsoft ACPI Driver"
"AcpiAudioCompositorInbox","ACPI Audio Compositor Driver","C:\WINDOWS\system32\DriverStore\FileRepository\acpiaudiocompositor.inf_amd64_047f553a6f70b169\AcpiAudioCompositor.sys","Stopped","Manual","ACPI Audio Compositor Driver"
"AcpiDev","ACPI Devices driver","C:\WINDOWS\system32\drivers\AcpiDev.sys","Stopped","Manual","ACPI Devices driver"
"acpiex","Microsoft ACPIEx Driver","C:\WINDOWS\system32\Drivers\acpiex.sys","Running","Boot","Microsoft ACPIEx Driver"
"acpipagr","ACPI Processor Aggregator Driver","C:\WINDOWS\system32\DriverStore\FileRepository\acpipagr.inf_amd64_d1093347a27ff89c\acpipagr.sys","Stopped","Manual","ACPI Processor Aggregator Driver"
"AcpiPmi","ACPI Power Meter Driver","C:\WINDOWS\system32\DriverStore\FileRepository\acpipmi.inf_amd64_3ced06eb61dcc792\acpipmi.sys","Stopped","Manual","ACPI Power Meter Driver"
"acpitime","ACPI Wake Alarm Driver","C:\WINDOWS\system32\drivers\acpitime.sys","Stopped","Manual","ACPI Wake Alarm Driver"
"Acx01000","Acx01000","C:\WINDOWS\system32\drivers\Acx01000.sys","Stopped","Manual","Acx01000"
"ADP80XX","ADP80XX","C:\WINDOWS\system32\drivers\ADP80XX.SYS","Stopped","Manual","ADP80XX"
"AFD","Ancillary Function Driver for Winsock","C:\WINDOWS\system32\drivers\afd.sys","Running","System","Ancillary Function Driver for Winsock"
"afunix","afunix","C:\WINDOWS\system32\drivers\afunix.sys","Running","System","afunix"
"ahcache","Application Compatibility Cache","C:\WINDOWS\system32\DRIVERS\ahcache.sys","Running","System","Application Compatibility Cache"
"AmdAppCompat","AMD Application Compatibility Database","C:\WINDOWS\system32\DriverStore\FileRepository\amdappcompat.inf_amd64_0cfc8ba812cdbaa8\AmdAppCompat.sys","Running","Manual","AMD Application Compatibility Database"
"amdfendr","AMD Crash Defender Driver","C:\WINDOWS\system32\DriverStore\FileRepository\amdfendr.inf_amd64_9bbf7ce85091da4a\amdfendr.sys","Running","Manual","AMD Crash Defender Driver"
"amdfendrmgr","AMD Crash Defender Manager Driver","C:\WINDOWS\system32\DriverStore\FileRepository\amdfendr.inf_amd64_9bbf7ce85091da4a\amdfendrmgr.sys","Running","Manual","AMD Crash Defender Manager Driver"
"amdgpio2","AMD GPIO Client Driver","C:\WINDOWS\system32\drivers\amdgpio2.sys","Running","Manual","AMD GPIO Client Driver"
"amdgpio3","AMD GPIO Client Driver","C:\WINDOWS\system32\drivers\amdgpio3.sys","Running","Manual","AMD GPIO Client Driver"
"amdi2c","AMD I2C Controller Service","C:\WINDOWS\system32\drivers\amdi2c.sys","Running","Manual","AMD I2C Controller Service"
"AmdK8","AMD K8 Processor Driver","C:\WINDOWS\system32\drivers\amdk8.sys","Stopped","Manual","AMD K8 Processor Driver"
"AMDPCIDev","AMD PCI","C:\WINDOWS\system32\drivers\AMDPCIDev.sys","Stopped","Manual","AMD PCI"
"AmdPpkg","AMD Provisioning Packages","C:\WINDOWS\system32\DriverStore\FileRepository\amdppkg.inf_amd64_2e5ec3779d1804d1\AmdPpkg.sys","Running","Manual","AMD Provisioning Packages"
"AmdPPM","AMD Processor Driver","C:\WINDOWS\system32\drivers\amdppm.sys","Running","Manual","AMD Processor Driver"
"amdpsp","AMD PSP Service","C:\WINDOWS\system32\drivers\amdpsp.sys","Running","Boot","AMD PSP Service"
"AMDRyzenMasterDriverV26","AMDRyzenMasterDriverV26","\??\C:\Program Files\AMD\Performance Profile Client\AMDRyzenMasterDriver.sys","Running","Auto","AMDRyzenMasterDriverV26"
"AMDRyzenMasterDriverV27","AMDRyzenMasterDriverV27","\??\C:\Program Files\AMD\RyzenMaster\bin\AMDRyzenMasterDriver.sys","Running","Auto","AMDRyzenMasterDriverV27"
"AMDRyzenMasterDriverV29","AMDRyzenMasterDriverV29","\??\C:\Program Files\AMD\RyzenMasterSDK\bin\AMDRyzenMasterDriver.sys","Running","Auto","AMDRyzenMasterDriverV29"
"amdsata","amdsata","C:\WINDOWS\system32\drivers\amdsata.sys","Stopped","Manual","amdsata"
"amdsbs","amdsbs","C:\WINDOWS\system32\drivers\amdsbs.sys","Stopped","Manual","amdsbs"
"AmdTools64","AMD Special Tools Driver","C:\WINDOWS\system32\drivers\AmdTools64.sys","Stopped","Manual","AMD Special Tools Driver"
"amduw23g-195698-fece65a5","amduw23g-195698-fece65a5","C:\WINDOWS\system32\DriverStore\FileRepository\u0195698.inf_amd64_480d395d3459e71d\B025498\amdkmdag.sys","Running","Manual","amduw23g-195698-fece65a5"
"amdwps","AMD Workload Profiling Scheduling Driver","C:\WINDOWS\system32\drivers\amdwps.sys","Running","Boot","AMD Workload Profiling Scheduling Driver"
"amdxata","amdxata","C:\WINDOWS\system32\drivers\amdxata.sys","Stopped","Manual","amdxata"
"AMDXE","AMD Controller Emulation","C:\WINDOWS\system32\drivers\amdxe.sys","Running","Manual","AMD Controller Emulation"
"AppID","AppID Driver","C:\WINDOWS\system32\drivers\appid.sys","Stopped","Manual","AppID Driver"
"AppleLowerFilter","Apple Lower Filter Driver","C:\WINDOWS\system32\drivers\AppleLowerFilter.sys","Stopped","Manual","Apple Lower Filter Driver"
"AppleSSD","Apple Solid State Drive Device","C:\WINDOWS\system32\drivers\AppleSSD.sys","Stopped","Manual","Apple Solid State Drive Device"
"applockerfltr","Smartlocker Filter Driver","C:\WINDOWS\system32\drivers\applockerfltr.sys","Stopped","Manual","Smartlocker Filter Driver"
"AppvStrm","AppvStrm","C:\WINDOWS\system32\drivers\AppvStrm.sys","Stopped","Manual","AppvStrm"
"AppvVemgr","AppvVemgr","C:\WINDOWS\system32\drivers\AppvVemgr.sys","Stopped","Manual","AppvVemgr"
"AppvVfs","AppvVfs","C:\WINDOWS\system32\drivers\AppvVfs.sys","Stopped","Manual","AppvVfs"
"arcsas","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","C:\WINDOWS\system32\drivers\arcsas.sys","Stopped","Manual","Adaptec SAS/SATA-II RAID Storport's Miniport Driver"
"AsyncMac","RAS Asynchronous Media Driver","C:\WINDOWS\system32\drivers\asyncmac.sys","Stopped","Manual","RAS Asynchronous Media Driver"
"atapi","IDE Channel","C:\WINDOWS\system32\drivers\atapi.sys","Stopped","Manual","IDE Channel"
"AtiHDAudioService","AMD Function Driver for HD Audio Service","C:\WINDOWS\system32\DriverStore\FileRepository\atihdwt6.inf_amd64_76dcade1eff04982\AtihdWT6.sys","Running","Manual","AMD Function Driver for HD Audio Service"
"b06bdrv","QLogic Network Adapter VBD","C:\WINDOWS\system32\drivers\bxvbda.sys","Stopped","Manual","QLogic Network Adapter VBD"
"bam","Background Activity Moderator Driver","C:\WINDOWS\system32\drivers\bam.sys","Running","System","Background Activity Moderator Driver"
"BasicDisplay","BasicDisplay","C:\WINDOWS\system32\DriverStore\FileRepository\basicdisplay.inf_amd64_2753efdbb0d9a226\BasicDisplay.sys","Running","System","BasicDisplay"
"BasicRender","BasicRender","C:\WINDOWS\system32\DriverStore\FileRepository\basicrender.inf_amd64_223b29e9cbd5a3a3\BasicRender.sys","Running","System","BasicRender"
"bcmfn2","bcmfn2 Service","C:\WINDOWS\system32\drivers\bcmfn2.sys","Stopped","Manual","bcmfn2 Service"
"Beep","Beep","C:\WINDOWS\system32\drivers\Beep.sys","Running","System","Beep"
"bfs","Brokering File System","C:\WINDOWS\system32\drivers\bfs.sys","Running","Auto","Brokering File System"
"bindflt","Windows Bind Filter Driver","C:\WINDOWS\system32\drivers\bindflt.sys","Running","Auto","Windows Bind Filter Driver"
"bowser","Browser","C:\WINDOWS\system32\DRIVERS\bowser.sys","Running","Manual","Browser"
"BtFilter","BtFilter","C:\WINDOWS\system32\drivers\btfilter.sys","Running","Manual","BtFilter"
"BthA2dp","Microsoft Bluetooth A2dp driver","C:\WINDOWS\system32\drivers\BthA2dp.sys","Running","Manual","Microsoft Bluetooth A2dp driver"
"BthEnum","Bluetooth Enumerator Service","C:\WINDOWS\system32\drivers\BthEnum.sys","Running","Manual","Bluetooth Enumerator Service"
"BthHFAud","Microsoft Bluetooth Hands-Free Audio driver","C:\WINDOWS\system32\drivers\BthHfAud.sys","Running","Manual","Microsoft Bluetooth Hands-Free Audio driver"
"BthHFEnum","Microsoft Bluetooth Hands-Free Profile driver","C:\WINDOWS\system32\drivers\bthhfenum.sys","Running","Manual","Microsoft Bluetooth Hands-Free Profile driver"
"BthLEEnum","Bluetooth Low Energy Driver","C:\WINDOWS\system32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys","Running","Manual","Bluetooth Low Energy Driver"
"BthMini","Bluetooth Radio Driver","C:\WINDOWS\system32\drivers\BTHMINI.sys","Stopped","Manual","Bluetooth Radio Driver"
"BTHMODEM","Bluetooth Modem Communications Driver","C:\WINDOWS\system32\drivers\bthmodem.sys","Stopped","Manual","Bluetooth Modem Communications Driver"
"BthPan","Bluetooth Device (Personal Area Network)","C:\WINDOWS\system32\drivers\bthpan.sys","Running","Manual","Bluetooth Device (Personal Area Network)"
"BTHPORT","Bluetooth Port Driver","C:\WINDOWS\system32\drivers\BTHport.sys","Running","Manual","Bluetooth Port Driver"
"BTHUSB","Bluetooth Radio USB Driver","C:\WINDOWS\system32\drivers\BTHUSB.sys","Running","Manual","Bluetooth Radio USB Driver"
"bttflt","Microsoft Hyper-V VHDPMEM BTT Filter","C:\WINDOWS\system32\drivers\bttflt.sys","Stopped","Manual","Microsoft Hyper-V VHDPMEM BTT Filter"
"buttonconverter","Service for Portable Device Control devices","C:\WINDOWS\system32\drivers\buttonconverter.sys","Stopped","Manual","Service for Portable Device Control devices"
"CAD","Charge Arbitration Driver","C:\WINDOWS\system32\drivers\CAD.sys","Stopped","Manual","Charge Arbitration Driver"
"CDD","Canonical Display Driver","C:\WINDOWS\system32\cdd.dll","Running","Manual","Canonical Display Driver"
"cdfs","CD/DVD File System Reader","C:\WINDOWS\system32\DRIVERS\cdfs.sys","Stopped","Disabled","CD/DVD File System Reader"
"cdrom","CD-ROM Driver","C:\WINDOWS\system32\drivers\cdrom.sys","Running","System","CD-ROM Driver"
"cht4iscsi","cht4iscsi","C:\WINDOWS\system32\drivers\cht4sx64.sys","Stopped","Manual","cht4iscsi"
"cht4vbd","Chelsio Virtual Bus Driver","C:\WINDOWS\system32\drivers\cht4vx64.sys","Stopped","Manual","Chelsio Virtual Bus Driver"
"CimFS","CimFS","C:\WINDOWS\system32\drivers\CimFS.sys","Running","System","CimFS"
"circlass","Consumer IR Devices","C:\WINDOWS\system32\drivers\circlass.sys","Stopped","Manual","Consumer IR Devices"
"CldFlt","Windows Cloud Files Filter Driver","C:\WINDOWS\system32\drivers\cldflt.sys","Running","Auto","Windows Cloud Files Filter Driver"
"CLFS","Common Log (CLFS)","C:\WINDOWS\system32\drivers\CLFS.sys","Running","Boot","Common Log (CLFS)"
"CmBatt","Microsoft ACPI Control Method Battery Driver","C:\WINDOWS\system32\drivers\CmBatt.sys","Stopped","Manual","Microsoft ACPI Control Method Battery Driver"
"CNG","CNG","C:\WINDOWS\system32\Drivers\cng.sys","Running","Boot","CNG"
"cnghwassist","CNG Hardware Assist algorithm provider","C:\WINDOWS\system32\DRIVERS\cnghwassist.sys","Stopped","Disabled","CNG Hardware Assist algorithm provider"
"CompositeBus","Composite Bus Enumerator Driver","C:\WINDOWS\system32\DriverStore\FileRepository\compositebus.inf_amd64_8cf6fa9d3afdfa25\CompositeBus.sys","Running","Manual","Composite Bus Enumerator Driver"
"condrv","Console Driver","C:\WINDOWS\system32\drivers\condrv.sys","Running","Manual","Console Driver"
"CorsairVBusDriver","Corsair Bus","C:\WINDOWS\system32\drivers\CorsairVBusDriver.sys","Stopped","Manual","Corsair Bus"
"CorsairVHidDriver","Corsair virtual device","C:\WINDOWS\system32\drivers\CorsairVHidDriver.sys","Stopped","Manual","Corsair virtual device"
"CSC","Offline Files Driver","C:\WINDOWS\system32\drivers\csc.sys","Running","System","Offline Files Driver"
"dam","Desktop Activity Moderator Driver","C:\WINDOWS\system32\drivers\dam.sys","Stopped","System","Desktop Activity Moderator Driver"
"dc1-controller","Xbox Peripherals Driver","C:\WINDOWS\system32\drivers\dc1-controller.sys","Stopped","Manual","Xbox Peripherals Driver"
"DellInstrumentation","DellInstrumentation Service","C:\WINDOWS\system32\drivers\DellInstrumentation.sys","Running","Manual","DellInstrumentation Service"
"devmap","Usermode Device Mapper Service","C:\WINDOWS\system32\DriverStore\FileRepository\devmap.inf_amd64_1993197f4612e967\devmap.sys","Stopped","Manual","Usermode Device Mapper Service"
"Dfsc","DFS Namespace Client Driver","C:\WINDOWS\system32\Drivers\dfsc.sys","Running","System","DFS Namespace Client Driver"
"dg_ssudbus","SAMSUNG Mobile USB Composite Device Driver (DEVGURU Ver.)","C:\WINDOWS\system32\drivers\ssudbus2.sys","Stopped","Manual","SAMSUNG Mobile USB Composite Device Driver (DEVGURU Ver.)"
"disk","Disk Driver","C:\WINDOWS\system32\drivers\disk.sys","Running","Boot","Disk Driver"
"DisplayMux","Microsoft DisplayMux","C:\WINDOWS\system32\DriverStore\FileRepository\displaymux.inf_amd64_da65a70f0c3ce0f3\DisplayMux.sys","Stopped","Manual","Microsoft DisplayMux"
"dmvsc","dmvsc","C:\WINDOWS\system32\drivers\dmvsc.sys","Stopped","Manual","dmvsc"
"DPMDriver","Dell Peripheral Manager Driver Service","C:\WINDOWS\system32\drivers\DPMDriver.sys","Running","Manual","Dell Peripheral Manager Driver Service"
"drmkaud","Microsoft Trusted Audio Drivers","C:\WINDOWS\system32\drivers\drmkaud.sys","Stopped","Manual","Microsoft Trusted Audio Drivers"
"duetbus","Duet Static Bus Enumerator","C:\WINDOWS\system32\DriverStore\FileRepository\duetbus.inf_amd64_66e44262fc0dd065\duetbus.sys","Stopped","Manual","Duet Static Bus Enumerator"
"DuetWPDFilter","Duet Display WPD Filter Driver","C:\WINDOWS\system32\drivers\DuetWPDFilter.sys","Running","Manual","Duet Display WPD Filter Driver"
"DXGKrnl","LDDM Graphics Subsystem","C:\WINDOWS\system32\drivers\dxgkrnl.sys","Running","Boot","LDDM Graphics Subsystem"
"ebdrv","QLogic 10 Gigabit Ethernet Adapter VBD","C:\WINDOWS\system32\drivers\evbda.sys","Stopped","Manual","QLogic 10 Gigabit Ethernet Adapter VBD"
"ebdrv0","QLogic Legacy Ethernet Adapter VBD","C:\WINDOWS\system32\drivers\evbd0a.sys","Stopped","Manual","QLogic Legacy Ethernet Adapter VBD"
"EhStorClass","Enhanced Storage Filter Driver","C:\WINDOWS\system32\drivers\EhStorClass.sys","Running","Boot","Enhanced Storage Filter Driver"
"EhStorTcgDrv","Microsoft driver for storage devices supporting IEEE 1667 and TCG protocols","C:\WINDOWS\system32\drivers\EhStorTcgDrv.sys","Stopped","Manual","Microsoft driver for storage devices supporting IEEE 1667 and TCG protocols"
"ErrDev","Microsoft Hardware Error Device Driver","C:\WINDOWS\system32\drivers\errdev.sys","Stopped","Manual","Microsoft Hardware Error Device Driver"
"ExecutionContext","CPU Scheduler for High Performance I/O","C:\WINDOWS\system32\Drivers\ExecutionContext.sys","Running","Manual","CPU Scheduler for High Performance I/O"
"exfat","exFAT File System Driver","C:\WINDOWS\system32\drivers\exfat.sys","Stopped","Manual","exFAT File System Driver"
"fastfat","FAT12/16/32 File System Driver","C:\WINDOWS\system32\drivers\fastfat.sys","Running","Manual","FAT12/16/32 File System Driver"
"fdc","Floppy Disk Controller Driver","C:\WINDOWS\system32\drivers\fdc.sys","Stopped","Manual","Floppy Disk Controller Driver"
"FileCrypt","FileCrypt","C:\WINDOWS\system32\drivers\filecrypt.sys","Running","System","FileCrypt"
"FileInfo","File Information FS MiniFilter","C:\WINDOWS\system32\drivers\fileinfo.sys","Running","Boot","File Information FS MiniFilter"
"Filetrace","Filetrace","C:\WINDOWS\system32\drivers\filetrace.sys","Stopped","Manual","Filetrace"
"file_tracker","Acronis File Tracker Driver","C:\WINDOWS\system32\DRIVERS\file_tracker.sys","Running","Boot","Acronis File Tracker Driver"
"flpydisk","Floppy Disk Driver","C:\WINDOWS\system32\drivers\flpydisk.sys","Stopped","Manual","Floppy Disk Driver"
"FltMgr","FltMgr","C:\WINDOWS\system32\drivers\fltmgr.sys","Running","Boot","FltMgr"
"fltsrv","Acronis Storage Filter Management","C:\WINDOWS\system32\DRIVERS\fltsrv.sys","Running","Boot","Acronis Storage Filter Management"
"FsDepends","File System Dependency Minifilter","C:\WINDOWS\system32\drivers\FsDepends.sys","Stopped","Manual","File System Dependency Minifilter"
"FTDIBUS","USB Serial Converter Driver","C:\WINDOWS\system32\drivers\ftdibus.sys","Stopped","Manual","USB Serial Converter Driver"
"fvevol","BitLocker Drive Encryption Filter Driver","C:\WINDOWS\system32\DRIVERS\fvevol.sys","Running","Boot","BitLocker Drive Encryption Filter Driver"
"gameflt","gameflt","C:\WINDOWS\system32\DriverStore\FileRepository\gameflt.inf_amd64_152b7ad8bf20bdc5\gameflt.sys","Stopped","Manual","gameflt"
"gencounter","Microsoft Hyper-V Generation Counter","C:\WINDOWS\system32\drivers\vmgencounter.sys","Stopped","Manual","Microsoft Hyper-V Generation Counter"
"genericusbfn","Generic USB Function Class","C:\WINDOWS\system32\DriverStore\FileRepository\genericusbfn.inf_amd64_71c810ddc0116541\genericusbfn.sys","Stopped","Manual","Generic USB Function Class"
"GenPass","Microsoft GenPass Driver","C:\WINDOWS\system32\DriverStore\FileRepository\genpass.inf_amd64_0c82d80c9252c9bd\genpass.sys","Stopped","Manual","Microsoft GenPass Driver"
"GPIOClx0101","Microsoft GPIO Class Extension Driver","C:\WINDOWS\system32\Drivers\msgpioclx.sys","Running","Manual","Microsoft GPIO Class Extension Driver"
"hcmon","VMware hcmon","C:\WINDOWS\system32\DRIVERS\hcmon.sys","Running","Auto","VMware hcmon"
"HdAudAddService","Microsoft 1.1 UAA Function Driver for High Definition Audio Service","C:\WINDOWS\system32\drivers\HdAudio.sys","Stopped","Manual","Microsoft 1.1 UAA Function Driver for High Definition Audio Service"
"HDAudBus","Microsoft UAA Bus Driver for High Definition Audio","C:\WINDOWS\system32\drivers\HDAudBus.sys","Running","Manual","Microsoft UAA Bus Driver for High Definition Audio"
"HidBatt","HID UPS Battery Driver","C:\WINDOWS\system32\drivers\HidBatt.sys","Stopped","Manual","HID UPS Battery Driver"
"HidBth","Microsoft Bluetooth HID Miniport","C:\WINDOWS\system32\drivers\hidbth.sys","Stopped","Manual","Microsoft Bluetooth HID Miniport"
"hidi2c","Microsoft I2C HID Miniport Driver","C:\WINDOWS\system32\drivers\hidi2c.sys","Stopped","Manual","Microsoft I2C HID Miniport Driver"
"hidinterrupt","Common Driver for HID Buttons implemented with interrupts","C:\WINDOWS\system32\drivers\hidinterrupt.sys","Stopped","Manual","Common Driver for HID Buttons implemented with interrupts"
"HidIr","Microsoft Infrared HID Driver","C:\WINDOWS\system32\drivers\hidir.sys","Stopped","Manual","Microsoft Infrared HID Driver"
"hidspi","Microsoft SPI HID Miniport Driver","C:\WINDOWS\system32\drivers\hidspi.sys","Stopped","Manual","Microsoft SPI HID Miniport Driver"
"HidSpiCx","HidSpi KMDF Class Extension","C:\WINDOWS\system32\drivers\HidSpiCx.sys","Stopped","Manual","HidSpi KMDF Class Extension"
"HidUsb","Microsoft HID Class Driver","C:\WINDOWS\system32\drivers\hidusb.sys","Running","Manual","Microsoft HID Class Driver"
"HpSAMD","HpSAMD","C:\WINDOWS\system32\drivers\HpSAMD.sys","Stopped","Manual","HpSAMD"
"Hsp","Microsoft Pluton Service","C:\WINDOWS\system32\drivers\Hsp.sys","Stopped","Manual","Microsoft Pluton Service"
"HTTP","HTTP Service","C:\WINDOWS\system32\drivers\HTTP.sys","Running","Manual","HTTP Service"
"hvcrash","hvcrash","C:\WINDOWS\system32\drivers\hvcrash.sys","Stopped","Disabled","hvcrash"
"hvservice","Microsoft Hypervisor Service Driver","C:\WINDOWS\system32\drivers\hvservice.sys","Running","Manual","Microsoft Hypervisor Service Driver"
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","C:\WINDOWS\system32\Drivers\mshwnclx.sys","Stopped","Manual","Microsoft Hardware Notifications Class Extension Driver"
"hwpolicy","Hardware Policy Driver","C:\WINDOWS\system32\drivers\hwpolicy.sys","Stopped","Boot","Hardware Policy Driver"
"hyperkbd","hyperkbd","C:\WINDOWS\system32\drivers\hyperkbd.sys","Stopped","Manual","hyperkbd"
"HyperVideo","HyperVideo","C:\WINDOWS\system32\drivers\HyperVideo.sys","Stopped","Manual","HyperVideo"
"I3CHost","I3C Host Controller Service","C:\WINDOWS\system32\DriverStore\FileRepository\i3chost.inf_amd64_dddfc6dc1e7b8e75\i3chost.sys","Stopped","Manual","I3C Host Controller Service"
"i8042prt","i8042 Keyboard and PS/2 Mouse Port Driver","C:\WINDOWS\system32\drivers\i8042prt.sys","Stopped","Manual","i8042 Keyboard and PS/2 Mouse Port Driver"
"iagpio","Intel Serial IO GPIO Controller Driver","C:\WINDOWS\system32\drivers\iagpio.sys","Stopped","Manual","Intel Serial IO GPIO Controller Driver"
"iai2c","Intel(R) Serial IO I2C Host Controller","C:\WINDOWS\system32\drivers\iai2c.sys","Stopped","Manual","Intel(R) Serial IO I2C Host Controller"
"iaLPSS2i_GPIO2","Intel(R) Serial IO GPIO Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2.sys","Stopped","Manual","Intel(R) Serial IO GPIO Driver v2"
"iaLPSS2i_GPIO2_BXT_P","Intel(R) Serial IO GPIO Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_BXT_P.sys","Stopped","Manual","Intel(R) Serial IO GPIO Driver v2"
"iaLPSS2i_GPIO2_CNL","Intel(R) Serial IO GPIO Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_CNL.sys","Stopped","Manual","Intel(R) Serial IO GPIO Driver v2"
"iaLPSS2i_GPIO2_GLK","Intel(R) Serial IO GPIO Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_GLK.sys","Stopped","Manual","Intel(R) Serial IO GPIO Driver v2"
"iaLPSS2i_I2C","Intel(R) Serial IO I2C Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C.sys","Stopped","Manual","Intel(R) Serial IO I2C Driver v2"
"iaLPSS2i_I2C_BXT_P","Intel(R) Serial IO I2C Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_BXT_P.sys","Stopped","Manual","Intel(R) Serial IO I2C Driver v2"
"iaLPSS2i_I2C_CNL","Intel(R) Serial IO I2C Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_CNL.sys","Stopped","Manual","Intel(R) Serial IO I2C Driver v2"
"iaLPSS2i_I2C_GLK","Intel(R) Serial IO I2C Driver v2","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_GLK.sys","Stopped","Manual","Intel(R) Serial IO I2C Driver v2"
"iaLPSSi_GPIO","Intel(R) Serial IO GPIO Controller Driver","C:\WINDOWS\system32\drivers\iaLPSSi_GPIO.sys","Stopped","Manual","Intel(R) Serial IO GPIO Controller Driver"
